well_id,wellUse,As,Ca,Ra_Total,U
1424,Domestic,16.59183156,,,0.32
1425,Domestic,3.444808353,,,0.94
1429,Domestic,7.27175542,,,9.98
1434,Domestic,7.95184688,,,0.928749494
1437,Livestock,5.861996711,,,0.71
1439,Domestic,5.372950684,,,0.58871969
1459,Domestic,16.91251686,,,34.95057041
1472,Unknown,3.845781158,,,10.37051669
1475,Livestock,7.728774808,,,1.36
1504,Livestock,5.387816068,,,7.438173657
1528,Livestock,2.981333455,,,17.96005889
1530,Livestock,,75.7,,
1531,Livestock,,,,
1532,Livestock,,64.8,,
1533,Livestock,,69,,
1534,Livestock,,70.45,,
1538,Livestock,0.821714333,,,1.662346944
1539,Livestock,,143,,
1544,Livestock,,123,,
1554,Livestock,,412.5,,
1557,Domestic,,84,,
1558,Livestock,,75.05,,
1564,Domestic,,63.3,,
1565,Livestock,,,,
1567,Livestock,1.376916717,,,1.79
1569,Livestock,,,,
1570,Livestock,,,,
1571,Livestock,,,,
1572,Livestock,,,,
1573,Livestock,,241,,
1576,Livestock,,290,,
1581,Livestock,3,3,,3
1582,Livestock,,206,,
1587,Livestock,2.392556432,,,16.92304265
1588,Livestock,11,24,9.568,130
1590,Livestock,1.699648355,26,0.251,4.11
1591,Livestock,5.22299711,,,2.316156765
1629,Unknown,,298,,
1631,Unknown,,585,,
1736,Livestock,12.79006743,,,3.1
1739,Domestic,,7.1,,
1747,Livestock,,17,,
1752,Domestic,8,34,,9
1753,Domestic,1,34,,3
1770,Livestock,0.8,,,0.76
1775,Livestock,,11,,
1776,Domestic,1,6,,1
1798,Domestic,6.03227124,,,1.816832067
1812,Domestic,,23,,
1817,Livestock,,2.5,,
1819,Unknown,23,13,,
1820,Domestic,,1.15,,
1823,Other,,51,,
1824,Municipal,4,7,,
1828,Livestock,2.754521451,,,0.4
1832,Livestock,,29,,
1834,Unknown,,33,,
1835,Unknown,,34,,
1836,Unknown,,70,,
1837,Domestic,,9.5,,
1838,Unknown,,43,,
1840,Unknown,,46,,
1841,Unknown,,36,,
1850,Independent,,90,,
1862,Domestic,1.81913957,220,,1
1864,Livestock,1,86,,12
1871,Domestic,1.425051819,130,,2.061797502
1872,Domestic,1,26,,32
1873,Livestock,2,99,,10
1875,Domestic,1,110,,12
1885,Unknown,1,49,,21
1888,Domestic,1.29243852,,,7.203859346
1894,Domestic,12.00695164,17,,26.59304277
1901,Domestic,1,660,,1
1902,Recreation,1,541.5,,26
1905,Other,10,333,,33.3119403
1906,Other,0.420741291,,,17.31846557
1907,Domestic,0.69,382,0.92,31
1908,Domestic,7.513287301,7,,2.148235412
1910,Domestic,9,57,,11
1913,Livestock,2,230,,1
1918,Livestock,1,225.6,0.452,44
1943,Domestic,4,99,,4
1944,Livestock,2,150,,4
1945,Domestic,1,220,,1.322689458
1946,Domestic,1,65,,17
1948,Unknown,4,19,,9
1953,Domestic,1,110,,4
1954,Unknown,1,120,,9
1959,Livestock,1,64,,6.654371319
1965,Unknown,,,,
1966,Domestic,1,88,,6
1967,Municipal,,,,
1968,Livestock,,,,
1969,Livestock,,,,
1970,Livestock,4,420,,1
1972,Unknown,1.004857236,,,0.670034649
1977,Municipal,1,,,
1981,Municipal,,,,
1982,Municipal,,,,
1983,Unknown,,,,
1984,Other,,64,,
1985,Domestic,,,,
1987,Livestock,1,26,,1
1988,Domestic,,,,
1989,Domestic,1,13,,1
1990,Domestic,,,,
1993,Domestic,1,14,,1
1994,Domestic,,,,
